Age,SibSp,Parch,Embarked,Fare,passenger_class,passenger_sex,passenger_survived,total_family,with_family,age_range,fare_range
22.0,1,0,1,7.25,1,1,0,1,1.0,4,1
38.0,1,0,2,71.2833,3,2,1,1,1.0,4,4
26.0,0,0,1,7.925,1,2,1,0,0.0,4,1
35.0,1,0,1,53.1,3,2,1,1,1.0,4,4
35.0,0,0,1,8.05,1,1,0,0,0.0,4,2
29.69911764705882,0,0,3,8.4583,1,1,0,0,0.0,4,2
54.0,0,0,1,51.8625,3,1,0,0,0.0,5,4
2.0,3,1,1,21.075,1,1,0,4,1.0,1,3
27.0,0,2,1,11.1333,1,2,1,2,1.0,4,2
14.0,1,0,2,30.0708,2,2,1,1,1.0,3,3
4.0,1,1,1,16.7,1,2,1,2,1.0,2,3
58.0,0,0,1,26.55,3,2,1,0,0.0,5,3
20.0,0,0,1,8.05,1,1,0,0,0.0,4,2
39.0,1,5,1,31.275,1,1,0,6,1.0,4,4
14.0,0,0,1,7.8542,1,2,0,0,0.0,3,1
55.0,0,0,1,16.0,2,2,1,0,0.0,5,3
2.0,4,1,3,29.125,1,1,0,5,1.0,1,3
29.69911764705882,0,0,1,13.0,2,1,1,0,0.0,4,2
31.0,1,0,1,18.0,1,2,0,1,1.0,4,3
29.69911764705882,0,0,2,7.225,1,2,1,0,0.0,4,1
35.0,0,0,1,26.0,2,1,0,0,0.0,4,3
34.0,0,0,1,13.0,2,1,1,0,0.0,4,2
15.0,0,0,3,8.0292,1,2,1,0,0.0,3,2
28.0,0,0,1,35.5,3,1,1,0,0.0,4,4
8.0,3,1,1,21.075,1,2,0,4,1.0,2,3
38.0,1,5,1,31.3875,1,2,1,6,1.0,4,4
29.69911764705882,0,0,2,7.225,1,1,0,0,0.0,4,1
19.0,3,2,1,263.0,3,1,0,5,1.0,4,4
29.69911764705882,0,0,3,7.8792,1,2,1,0,0.0,4,1
29.69911764705882,0,0,1,7.8958,1,1,0,0,0.0,4,1
40.0,0,0,2,27.7208,3,1,0,0,0.0,4,3
29.69911764705882,1,0,2,146.5208,3,2,1,1,1.0,4,4
29.69911764705882,0,0,3,7.75,1,2,1,0,0.0,4,1
66.0,0,0,1,10.5,2,1,0,0,0.0,6,2
28.0,1,0,2,82.1708,3,1,0,1,1.0,4,4
42.0,1,0,1,52.0,3,1,0,1,1.0,5,4
29.69911764705882,0,0,2,7.2292,1,1,1,0,0.0,4,1
21.0,0,0,1,8.05,1,1,0,0,0.0,4,2
18.0,2,0,1,18.0,1,2,0,2,1.0,4,3
14.0,1,0,2,11.2417,1,2,1,1,1.0,3,2
40.0,1,0,1,9.475,1,2,0,1,1.0,4,2
27.0,1,0,1,21.0,2,2,0,1,1.0,4,3
29.69911764705882,0,0,2,7.8958,1,1,0,0,0.0,4,1
3.0,1,2,2,41.5792,2,2,1,3,1.0,2,4
19.0,0,0,3,7.8792,1,2,1,0,0.0,4,1
29.69911764705882,0,0,1,8.05,1,1,0,0,0.0,4,2
29.69911764705882,1,0,3,15.5,1,1,0,1,1.0,4,3
29.69911764705882,0,0,3,7.75,1,2,1,0,0.0,4,1
29.69911764705882,2,0,2,21.6792,1,1,0,2,1.0,4,3
18.0,1,0,1,17.8,1,2,0,1,1.0,4,3
7.0,4,1,1,39.6875,1,1,0,5,1.0,2,4
21.0,0,0,1,7.8,1,1,0,0,0.0,4,1
49.0,1,0,2,76.7292,3,2,1,1,1.0,5,4
29.0,1,0,1,26.0,2,2,1,1,1.0,4,3
65.0,0,1,2,61.9792,3,1,0,1,1.0,5,4
29.69911764705882,0,0,1,35.5,3,1,1,0,0.0,4,4
21.0,0,0,1,10.5,2,2,1,0,0.0,4,2
28.5,0,0,2,7.2292,1,1,0,0,0.0,4,1
5.0,1,2,1,27.75,2,2,1,3,1.0,2,3
11.0,5,2,1,46.9,1,1,0,7,1.0,2,4
22.0,0,0,2,7.2292,1,1,0,0,0.0,4,1
38.0,0,0,1,80.0,3,2,1,0,0.0,4,4
45.0,1,0,1,83.475,3,1,0,1,1.0,5,4
4.0,3,2,1,27.9,1,1,0,5,1.0,2,3
29.69911764705882,0,0,2,27.7208,3,1,0,0,0.0,4,3
29.69911764705882,1,1,2,15.2458,1,1,1,2,1.0,4,3
29.0,0,0,1,10.5,2,2,1,0,0.0,4,2
19.0,0,0,1,8.1583,1,1,0,0,0.0,4,2
17.0,4,2,1,7.925,1,2,1,6,1.0,3,1
26.0,2,0,1,8.6625,1,1,0,2,1.0,4,2
32.0,0,0,1,10.5,2,1,0,0,0.0,4,2
16.0,5,2,1,46.9,1,2,0,7,1.0,3,4
21.0,0,0,1,73.5,2,1,0,0,0.0,4,4
26.0,1,0,2,14.4542,1,1,0,1,1.0,4,2
32.0,0,0,1,56.4958,1,1,1,0,0.0,4,4
25.0,0,0,1,7.65,1,1,0,0,0.0,4,1
29.69911764705882,0,0,1,7.8958,1,1,0,0,0.0,4,1
29.69911764705882,0,0,1,8.05,1,1,0,0,0.0,4,2
0.83,0,2,1,29.0,2,1,1,2,1.0,1,3
30.0,0,0,1,12.475,1,2,1,0,0.0,4,2
22.0,0,0,1,9.0,1,1,0,0,0.0,4,2
29.0,0,0,1,9.5,1,1,1,0,0.0,4,2
29.69911764705882,0,0,3,7.7875,1,2,1,0,0.0,4,1
28.0,0,0,1,47.1,3,1,0,0,0.0,4,4
17.0,0,0,1,10.5,2,2,1,0,0.0,3,2
33.0,3,0,1,15.85,1,2,1,3,1.0,4,3
16.0,1,3,1,34.375,1,1,0,4,1.0,3,4
29.69911764705882,0,0,1,8.05,1,1,0,0,0.0,4,2
23.0,3,2,1,263.0,3,2,1,5,1.0,4,4
24.0,0,0,1,8.05,1,1,0,0,0.0,4,2
29.0,0,0,1,8.05,1,1,0,0,0.0,4,2
20.0,0,0,1,7.8542,1,1,0,0,0.0,4,1
46.0,1,0,1,61.175,3,1,0,1,1.0,5,4
26.0,1,2,1,20.575,1,1,0,3,1.0,4,3
59.0,0,0,1,7.25,1,1,0,0,0.0,5,1
29.69911764705882,0,0,1,8.05,1,1,0,0,0.0,4,2
71.0,0,0,2,34.6542,3,1,0,0,0.0,6,4
23.0,0,1,2,63.3583,3,1,1,1,1.0,4,4
34.0,0,1,1,23.0,2,2,1,1,1.0,4,3
34.0,1,0,1,26.0,2,1,0,1,1.0,4,3
28.0,0,0,1,7.8958,1,2,0,0,0.0,4,1
29.69911764705882,0,0,1,7.8958,1,1,0,0,0.0,4,1
21.0,0,1,1,77.2875,3,1,0,1,1.0,4,4
33.0,0,0,1,8.6542,1,1,0,0,0.0,4,2
37.0,2,0,1,7.925,1,1,0,2,1.0,4,1
28.0,0,0,1,7.8958,1,1,0,0,0.0,4,1
21.0,0,0,1,7.65,1,2,1,0,0.0,4,1
29.69911764705882,0,0,1,7.775,1,1,1,0,0.0,4,1
38.0,0,0,1,7.8958,1,1,0,0,0.0,4,1
29.69911764705882,1,0,3,24.15,1,2,1,1,1.0,4,3
47.0,0,0,1,52.0,3,1,0,0,0.0,5,4
14.5,1,0,2,14.4542,1,2,0,1,1.0,3,2
22.0,0,0,1,8.05,1,1,0,0,0.0,4,2
20.0,1,0,1,9.825,1,2,0,1,1.0,4,2
17.0,0,0,2,14.4583,1,2,0,0,0.0,3,2
21.0,0,0,1,7.925,1,1,0,0,0.0,4,1
